seconds,mic_dbfs,output_dbfs,reference_dbfs,active,reduction_db,linear_db,delay_ms,double_talk,underruns
1.000,-24.41,-28.02,-16.46,1,30.73,3.30,10.67,0,1280
2.000,-23.24,-38.65,-16.37,1,33.03,4.08,10.67,0,1280
3.000,-24.23,-38.05,-16.76,1,33.06,4.85,11.81,0,1280
4.000,-23.33,-41.87,-16.23,1,33.82,4.26,11.81,0,1280
5.000,-23.23,-58.12,-15.79,1,36.13,6.51,22.54,0,1280
6.000,-23.47,-42.11,-16.48,1,32.62,3.62,22.54,0,1280
7.000,-24.26,-58.43,-16.83,1,34.34,5.78,23.71,0,1280
8.000,-24.05,-45.32,-16.27,1,33.39,5.14,23.71,0,1280
9.000,-23.73,-37.93,-16.48,1,32.58,4.53,23.58,0,1280
10.000,-23.47,-43.58,-16.22,1,31.17,3.90,23.58,0,1280
11.000,-24.07,-41.95,-16.42,1,1.61,4.94,23.58,0,1280
12.000,-23.13,-53.14,-15.71,1,36.64,7.00,23.50,0,1280
13.000,-23.54,-58.69,-16.09,1,34.05,4.51,23.50,0,1280
14.000,-24.32,-47.00,-15.43,1,32.80,6.22,23.48,0,1280
15.000,-23.43,-47.76,-15.71,1,35.82,6.84,37.33,0,1280
16.000,-23.89,-36.28,-16.41,1,31.62,3.68,37.33,0,1280
17.000,-24.10,-39.23,-16.44,1,24.76,5.66,38.17,0,1280
18.000,-25.69,-46.25,-17.91,1,17.45,5.15,37.33,0,1280
19.000,-25.27,-40.02,-18.45,1,37.11,8.38,37.33,1,1280
20.000,-25.56,-35.37,-18.37,1,35.11,6.92,37.33,0,1280
21.000,-25.32,-45.07,-18.50,1,38.25,8.42,37.33,0,1280
22.000,-25.97,-40.01,-19.25,1,39.50,11.26,37.33,0,1280
23.000,-26.31,-53.31,-20.40,1,40.15,10.84,37.33,0,1280
24.000,-24.38,-37.17,-19.72,1,0.00,0.92,37.33,0,1280
25.000,-24.67,-35.53,-19.63,1,35.10,5.55,37.33,0,1280
