seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-26.91,-20.94,-17.58,-200.00,0.04,0,0,0,265982,0
2.000,-28.15,-22.13,-17.77,-200.00,-0.00,0,0,0,266362,0
3.000,-30.86,-24.81,-18.70,-200.00,-0.03,0,0,0,266738,0
4.000,-30.52,-24.56,-18.74,-200.00,0.06,0,0,0,267110,0
5.000,-28.57,-22.56,-17.14,-200.00,0.01,0,0,0,267486,0
6.000,-28.88,-22.81,-17.24,-200.00,-0.05,0,0,0,267858,0
7.000,-27.33,-21.36,-17.14,-200.00,0.05,0,0,0,268238,0
8.000,-27.16,-21.12,-17.42,-200.00,-0.02,0,0,0,268610,0
9.000,-28.57,-22.55,-17.08,-200.00,0.00,0,0,0,268986,0
10.000,-30.35,-24.25,-18.13,-200.00,-0.08,0,0,0,269358,0
11.000,-34.26,-28.13,-22.11,-200.00,-0.10,0,0,0,269738,0
12.000,-43.94,-37.93,-31.77,-200.00,0.01,0,0,0,270110,0
13.000,-44.96,-38.91,-34.62,-200.00,-0.02,0,0,0,270486,0
14.000,-42.26,-36.25,-33.21,-200.00,0.02,0,0,0,270858,0
15.000,-26.24,-20.23,-23.69,-200.00,0.01,0,0,0,271238,0
16.000,-35.67,-29.56,-26.61,-200.00,-0.09,0,0,0,271610,0
17.000,-42.98,-37.18,-33.07,-200.00,0.22,0,0,0,271990,0
18.000,-33.03,-26.98,-25.97,-200.00,-0.03,0,0,0,272362,0
19.000,-47.67,-41.65,-36.91,-200.00,-0.00,0,0,0,272734,0
20.000,-39.32,-34.38,-30.93,-200.00,1.08,0,0,0,273106,0
21.000,-34.50,-28.20,-25.75,-200.00,-0.28,0,0,0,273486,0
22.000,-33.98,-27.95,-28.60,-200.00,-0.00,0,0,0,273858,0
23.000,-45.98,-39.85,-36.71,-200.00,-0.11,0,0,0,274238,0
24.000,-40.47,-34.60,-37.92,-200.00,0.15,0,0,0,274610,0
25.000,-27.35,-21.32,-44.45,-200.00,-0.01,0,0,0,274986,0
26.000,-46.53,-40.62,-49.22,-200.00,0.12,0,0,0,275358,0
27.000,-49.30,-43.07,-50.98,-200.00,-0.21,0,0,0,275734,0
28.000,-50.21,-44.19,-50.76,-200.00,0.01,0,0,0,276110,0
29.000,-50.67,-44.69,-49.33,-200.00,0.03,0,0,0,276486,0
