seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-30.75,-29.08,-18.10,-200.00,4.35,1,1,512,281883,0
2.000,-32.92,-36.31,-19.37,-200.00,9.41,1,1,512,282255,0
3.000,-27.47,-30.14,-18.47,-200.00,8.69,1,1,512,282627,0
4.000,-30.53,-31.34,-18.28,-200.00,6.83,1,1,512,283007,54
5.000,-30.98,-36.22,-19.75,-200.00,11.26,1,1,512,283379,3195
6.000,-29.19,-38.55,-18.27,-200.00,15.39,1,1,44032,283756,3542
7.000,-29.19,-37.01,-18.53,-200.00,13.84,1,1,512,284131,5
8.000,-30.20,-38.88,-20.02,-200.00,14.70,1,1,512,284503,3629
9.000,-29.54,-37.88,-18.39,-200.00,14.36,1,1,512,284879,1974
10.000,-32.67,-38.94,-20.02,-200.00,12.29,1,1,512,285255,3666
11.000,-32.42,-42.53,-19.89,-200.00,16.13,1,1,512,285627,0
12.000,-32.09,-37.02,-20.19,-200.00,10.94,1,1,512,286003,53
13.000,-31.27,-41.91,-19.51,-200.00,16.66,1,1,512,286379,3502
14.000,-30.84,-38.45,-21.29,-200.00,13.63,1,1,512,286755,3560
15.000,-28.04,-37.73,-16.91,-200.00,15.71,1,1,512,287131,54
16.000,-28.64,-42.87,-17.67,-200.00,20.26,1,1,512,287503,3253
17.000,-28.33,-38.52,-17.84,-200.00,16.21,1,1,512,287879,4052
18.000,-25.88,-43.63,-18.85,-200.00,23.77,1,1,512,288255,0
19.000,-25.77,-39.15,-17.80,-200.00,19.39,1,1,512,288627,3756
20.000,-30.63,-33.38,-19.37,-200.00,8.78,1,1,39424,289005,2806
21.000,-30.08,-39.41,-17.44,-200.00,15.35,1,1,512,289379,3459
22.000,-27.43,-39.77,-17.30,-200.00,18.36,1,1,512,289755,214
23.000,-30.60,-40.42,-18.03,-200.00,15.84,1,1,512,290127,1378
24.000,-25.59,-41.66,-18.40,-200.00,22.09,1,1,512,290503,2647
25.000,-28.53,-43.66,-19.59,-200.00,21.15,1,1,512,290883,869
26.000,-27.97,-32.79,-20.79,-200.00,10.84,1,1,512,291255,3536
27.000,-29.21,-27.46,-17.47,-200.00,4.27,1,1,512,291627,0
28.000,-25.76,-25.96,-17.77,-200.00,6.22,1,1,512,292003,4086
29.000,-28.92,-32.29,-17.63,-200.00,9.40,1,1,512,292379,3555
