seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-30.96,-25.05,-17.09,-200.00,0.11,0,0,0,318379,0
2.000,-24.59,-18.55,-16.33,-200.00,-0.02,0,0,0,318937,0
3.000,-30.56,-24.87,-20.58,-200.00,0.33,0,0,0,319501,0
4.000,-28.55,-22.33,-19.07,-200.00,-0.20,0,0,0,320065,0
5.000,-27.98,-21.97,-19.54,-200.00,0.01,0,0,0,320623,0
6.000,-30.58,-24.67,-20.45,-200.00,0.12,0,0,0,321181,0
7.000,-28.41,-22.30,-18.89,-200.00,-0.08,0,0,0,321751,0
8.000,-29.14,-23.22,-20.61,-200.00,0.10,0,0,0,322309,0
9.000,-30.42,-24.44,-20.40,-200.00,0.04,0,0,0,322873,0
10.000,-29.19,-23.03,-19.59,-200.00,-0.13,0,0,0,323431,0
11.000,-30.86,-24.95,-20.51,-200.00,0.11,0,0,0,324001,0
12.000,-27.94,-21.89,-20.68,-200.00,-0.03,0,0,0,324559,0
13.000,-32.00,-26.10,-21.98,-200.00,0.12,0,0,0,325117,0
14.000,-31.21,-25.07,-20.10,-200.00,-0.12,0,0,0,325687,0
15.000,-31.04,-25.07,-19.45,-200.00,0.06,0,0,0,326245,0
16.000,-30.74,-24.68,-19.27,-200.00,-0.04,0,0,0,326809,0
17.000,-27.74,-21.69,-20.54,-200.00,-0.02,0,0,0,327379,0
18.000,-32.52,-26.66,-19.29,-200.00,0.17,0,0,0,327937,0
19.000,-27.49,-21.43,-19.20,-200.00,-0.03,0,0,0,328501,0
20.000,-30.91,-25.07,-22.52,-200.00,0.17,0,0,0,329059,0
21.000,-29.26,-23.29,-19.07,-200.00,0.05,0,0,0,329623,0
22.000,-28.42,-22.31,-19.62,-200.00,-0.09,0,0,0,330181,0
23.000,-30.34,-24.33,-20.41,-200.00,0.01,0,0,0,330751,0
24.000,-30.65,-24.53,-19.74,-200.00,-0.10,0,0,0,331309,0
25.000,-30.39,-24.46,-21.27,-200.00,0.09,0,0,0,331873,0
26.000,-30.20,-24.13,-22.36,-200.00,-0.04,0,0,0,332437,0
27.000,-31.25,-25.16,-22.93,-200.00,-0.07,0,0,0,332995,0
28.000,-29.99,-24.05,-22.93,-200.00,0.08,0,0,0,333559,0
29.000,-37.89,-31.33,-35.74,-200.00,-0.54,0,0,0,334117,0
