seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-26.08,-23.29,-17.01,-200.00,3.23,1,1,20992,335496,1667
2.000,-26.69,-32.22,-15.66,-200.00,11.55,1,1,20992,336060,0
3.000,-27.23,-30.38,-15.59,-200.00,9.17,1,1,20992,336618,2560
4.000,-28.61,-35.73,-16.00,-200.00,13.14,1,1,24320,337186,0
5.000,-27.60,-38.73,-17.72,-200.00,17.15,1,1,20992,337746,1589
6.000,-29.29,-37.47,-15.80,-200.00,14.21,1,1,20992,338310,2995
7.000,-27.50,-36.17,-16.38,-200.00,14.69,1,1,20992,338874,141
8.000,-27.81,-42.28,-16.68,-200.00,20.49,1,1,20992,339438,0
9.000,-27.98,-38.77,-16.02,-200.00,16.81,1,1,20992,339996,4256
10.000,-27.11,-23.32,-15.47,-200.00,2.22,1,1,70912,340561,0
11.000,-27.16,-25.80,-13.80,-200.00,4.66,1,1,20992,341124,2853
12.000,-27.21,-31.59,-14.25,-200.00,10.40,1,1,20992,341688,1619
13.000,-25.88,-37.06,-14.34,-200.00,17.20,1,1,20992,342246,1093
14.000,-28.37,-38.02,-14.95,-200.00,15.67,1,1,20992,342810,1406
15.000,-26.84,-47.90,-14.65,-200.00,27.08,1,1,20992,343374,3395
16.000,-28.02,-55.15,-14.78,-200.00,33.15,1,1,20992,343938,3450
17.000,-27.82,-47.41,-14.84,-200.00,25.61,1,1,20992,344496,3295
18.000,-27.93,-54.80,-14.52,-200.00,32.89,1,1,20992,345060,3384
19.000,-27.24,-45.17,-14.23,-200.00,23.95,1,1,20992,345618,3554
20.000,-28.09,-41.52,-15.33,-200.00,19.46,1,1,20992,346188,2036
21.000,-27.55,-34.91,-14.24,-200.00,13.38,1,1,20992,346746,3210
22.000,-28.17,-55.37,-16.16,-200.00,33.22,1,1,20992,347310,4130
23.000,-27.82,-32.56,-17.96,-200.00,10.75,1,1,24832,347873,2965
24.000,-32.16,-44.00,-19.12,-200.00,17.86,1,1,20992,348438,681
25.000,-38.13,-43.14,-25.34,-200.00,11.03,1,1,20992,348996,2042
26.000,-29.66,-37.89,-16.08,-200.00,14.26,1,1,29696,349563,2674
27.000,-29.27,-34.93,-15.36,-200.00,11.68,1,1,20992,350118,1005
28.000,-30.97,-47.79,-20.08,-200.00,22.83,1,1,20992,350688,2705
29.000,-33.51,-46.09,-23.67,-200.00,18.60,1,1,20992,351246,36
