elapsed_seconds,mic_left_rms_dbfs,mic_right_rms_dbfs,left_peak,right_peak,reference_active,reduction_db,callbacks,missing_frames
1.000,-49.65,-49.65,0.011116,0.011116,0,0.00,70438,35584
2.000,-48.24,-48.24,0.014945,0.014945,0,0.00,70626,35584
3.000,-47.56,-47.56,0.014719,0.014719,0,0.00,70815,424704
4.000,-48.29,-48.29,0.014477,0.014477,0,0.00,71002,35584
5.000,-48.04,-48.04,0.020672,0.020672,0,0.00,71190,35584
6.000,-47.90,-47.90,0.061055,0.061055,0,0.00,71378,35584
7.000,-49.77,-49.77,0.012157,0.012157,0,0.00,71564,35584
8.000,-47.85,-47.85,0.017425,0.017425,0,0.00,71752,35584
9.000,-47.31,-47.31,0.014787,0.014787,0,0.00,71938,35584
10.000,-46.79,-46.79,0.017721,0.017721,0,0.00,72126,35584
11.000,-48.86,-48.86,0.011496,0.011496,0,0.00,72312,35584
12.000,-48.31,-48.31,0.016725,0.016725,0,0.00,72502,35584
13.000,-48.41,-48.41,0.013720,0.013720,0,0.00,72688,35584
14.000,-48.78,-48.78,0.016680,0.016680,0,0.00,72876,35584
15.000,-48.77,-48.77,0.014783,0.014783,0,0.00,73064,35584
16.000,-49.58,-49.58,0.011678,0.011678,0,0.00,73250,35584
17.000,-29.75,-29.75,0.269380,0.269380,0,0.00,73438,35584
18.000,-23.77,-23.77,0.380886,0.380886,0,0.00,73624,35584
19.000,-18.89,-18.89,1.000000,1.000000,0,0.00,73814,35584
20.000,-23.50,-23.50,0.305880,0.305880,0,0.00,74002,35584
21.000,-28.25,-28.25,0.230341,0.230341,0,0.00,74188,35584
22.000,-31.43,-31.43,0.294773,0.294773,0,0.00,74378,35584
23.000,-22.47,-22.47,0.405227,0.405227,0,0.00,74564,35584
24.000,-24.07,-24.07,0.350719,0.350719,0,0.00,74750,35584
25.000,-28.00,-28.00,0.228344,0.228344,0,0.00,74940,35584
26.000,-25.86,-25.86,0.253665,0.253665,0,0.00,75128,35584
27.000,-26.32,-26.32,0.198835,0.198835,0,0.00,75314,35584
28.000,-26.82,-26.82,0.254680,0.254680,0,0.00,75500,35584
29.000,-25.80,-25.80,0.283510,0.283510,0,0.00,75690,35584
30.000,-27.81,-27.81,0.245590,0.245590,0,0.00,75876,35584
31.000,-25.05,-25.05,0.283248,0.283248,0,0.00,76064,35584
32.000,-26.26,-26.26,0.246648,0.246648,0,0.00,76250,35584
33.000,-23.58,-23.58,0.338996,0.338996,1,0.00,76440,35584
34.000,-28.30,-28.30,0.289847,0.289847,1,0.47,76626,35584
35.000,-34.69,-34.69,0.215052,0.215052,1,39.14,76814,35584
36.000,-39.23,-39.23,0.130596,0.130596,1,34.80,77000,35584
37.000,-31.87,-31.87,0.203867,0.203867,1,0.00,77190,35584
38.000,-24.49,-24.49,0.308845,0.308845,1,33.94,77374,35584
39.000,-25.67,-25.67,0.207692,0.207692,1,0.00,77564,35584
40.000,-22.85,-22.85,0.361871,0.361871,1,0.00,77752,35584
41.000,-23.66,-23.66,0.375242,0.375242,1,0.00,77938,35584
42.000,-25.38,-25.38,0.246493,0.246493,1,0.02,78126,35584
43.000,-24.72,-24.72,0.275906,0.275906,1,0.00,78312,35584
44.000,-27.51,-27.51,0.280957,0.280957,1,0.00,78502,35584
45.000,-26.00,-26.00,0.271674,0.271674,0,0.00,78688,35584
46.000,-27.80,-27.80,0.356311,0.356311,0,0.00,78876,35584
47.000,-40.58,-40.58,0.103013,0.103013,0,0.00,79062,35584
48.000,-47.84,-47.84,0.012666,0.012666,1,0.00,79250,35584
49.000,-32.34,-32.34,0.151320,0.151320,1,0.00,79438,35584
50.000,-34.88,-34.88,0.127670,0.127670,1,0.00,79626,35584
51.000,-31.42,-31.42,0.177722,0.177722,1,0.00,79812,35584
52.000,-34.67,-34.67,0.160664,0.160664,1,0.00,80000,35584
53.000,-35.96,-35.96,0.097139,0.097139,1,5.33,80190,35584
54.000,-33.43,-33.43,0.135906,0.135906,1,0.00,80376,35584
55.000,-34.24,-34.24,0.146195,0.146195,1,0.00,80562,35584
56.000,-34.19,-34.19,0.118494,0.118494,1,3.39,80750,35584
57.000,-31.26,-31.26,0.192708,0.192708,1,0.58,80936,35584
58.000,-32.74,-32.74,0.125187,0.125187,1,44.23,81126,35840
59.000,-38.12,-38.12,0.105360,0.105360,1,0.00,81314,35840
60.000,-38.27,-38.27,0.072206,0.072206,1,6.33,81502,35840
61.000,-36.74,-36.74,0.139068,0.139068,1,27.27,81688,35840
62.000,-36.03,-36.03,0.090010,0.090010,1,1.08,81876,35840
63.000,-32.62,-32.62,0.166877,0.166877,1,0.00,82064,35840
64.000,-27.19,-27.19,0.219056,0.219056,1,2.44,82250,35840
65.000,-27.47,-27.47,0.290536,0.290536,1,19.31,82438,35840
66.000,-28.53,-28.53,0.244184,0.244184,1,11.10,82626,35840
67.000,-31.07,-31.07,0.230606,0.230606,1,33.57,82812,35840
68.000,-32.39,-32.39,0.177950,0.177950,1,27.89,83000,35840
69.000,-35.26,-35.26,0.163181,0.163181,1,28.09,83190,35840
70.000,-39.00,-39.00,0.161165,0.161165,1,36.74,83376,35840
71.000,-41.06,-41.06,0.166986,0.166986,1,23.94,83564,35840
72.000,-35.65,-35.65,0.189547,0.189547,1,3.75,83750,35840
73.000,-37.43,-37.43,0.135251,0.135251,1,36.78,83938,35840
74.000,-39.09,-39.09,0.191023,0.191023,1,35.83,84126,35840
75.000,-48.30,-48.30,0.096235,0.096235,1,9.12,84314,35840
76.000,-42.90,-42.90,0.120571,0.120571,1,28.72,84500,35840
77.000,-29.94,-29.94,0.379745,0.379745,1,14.91,84689,425472
78.000,-30.40,-30.40,0.356731,0.356731,1,13.76,84874,35840
79.000,-34.15,-34.15,0.248854,0.248854,1,36.09,85062,35840
80.000,-32.85,-32.85,0.273599,0.273599,1,16.70,85252,35840
