seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db
1.000,-54.84,-48.91,-200.00,-200.00,0.09
2.000,-54.88,-48.83,-200.00,-200.00,-0.03
3.000,-54.92,-48.92,-200.00,-200.00,0.02
4.000,-55.25,-49.18,-200.00,-200.00,-0.06
5.000,-56.93,-50.92,-200.00,-200.00,0.01
6.000,-40.88,-34.86,-200.00,-200.00,-0.00
7.000,-54.65,-48.63,-200.00,-200.00,0.00
8.000,-55.06,-49.07,-200.00,-200.00,0.03
9.000,-55.17,-49.22,-200.00,-200.00,0.08
10.000,-55.12,-49.05,-200.00,-200.00,-0.05
11.000,-54.76,-48.70,-200.00,-200.00,-0.04
12.000,-53.92,-48.03,-200.00,-200.00,0.13
13.015,-55.45,-49.33,-200.00,-200.00,-0.09
14.015,-53.36,-47.33,-200.00,-200.00,-0.01
15.015,-54.23,-48.24,-200.00,-200.00,0.04
16.015,-51.21,-45.17,-200.00,-200.00,-0.03
17.015,-55.14,-49.11,-200.00,-200.00,-0.01
18.015,-55.40,-49.34,-200.00,-200.00,-0.04
19.015,-55.71,-49.66,-200.00,-200.00,-0.04
20.015,-55.21,-49.20,-200.00,-200.00,0.01
21.015,-54.65,-48.78,-200.00,-200.00,0.15
22.015,-31.06,-25.04,-200.00,-200.00,0.00
23.015,-27.72,-21.81,-200.00,-200.00,0.11
24.015,-30.06,-23.98,-200.00,-200.00,-0.06
25.015,-34.99,-28.60,-200.00,-200.00,-0.37
26.015,-30.58,-24.58,-200.00,-200.00,0.01
27.015,-33.23,-27.21,-200.00,-200.00,0.00
28.015,-31.18,-25.18,-200.00,-200.00,0.02
29.015,-29.86,-23.82,-200.00,-200.00,-0.02
30.015,-33.25,-27.53,-200.00,-200.00,0.30
31.015,-32.46,-26.49,-200.00,-200.00,0.04
32.015,-31.07,-24.84,-200.00,-200.00,-0.21
33.015,-31.47,-25.57,-200.00,-200.00,0.12
34.015,-31.11,-25.00,-200.00,-200.00,-0.10
35.015,-30.18,-24.27,-200.00,-200.00,0.12
36.015,-30.73,-24.58,-200.00,-200.00,-0.13
37.015,-28.88,-23.00,-200.00,-200.00,0.14
38.015,-32.26,-26.18,-200.00,-200.00,-0.05
39.015,-28.25,-22.14,-200.00,-200.00,-0.09
40.015,-28.40,-22.37,-200.00,-200.00,-0.00
41.015,-31.29,-25.25,-200.00,-200.00,-0.02
42.015,-29.72,-23.74,-200.00,-200.00,0.04
43.015,-30.70,-24.88,-200.00,-200.00,0.21
44.015,-30.87,-24.63,-200.00,-200.00,-0.23
45.015,-34.42,-28.84,-200.00,-200.00,0.44
46.015,-27.88,-21.77,-200.00,-200.00,-0.10
47.015,-29.85,-23.83,-200.00,-200.00,-0.00
48.015,-30.90,-24.90,-200.00,-200.00,0.02
49.015,-31.14,-25.21,-200.00,-200.00,0.09
50.015,-27.92,-22.60,-19.36,-200.00,0.69
51.015,-26.87,-22.61,-17.44,-200.00,1.75
52.015,-27.36,-25.64,-17.42,-200.00,4.30
53.015,-26.54,-29.62,-17.75,-200.00,9.09
54.015,-28.72,-29.26,-16.98,-200.00,6.56
