seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-26.36,-21.97,-19.75,-200.00,1.62,1,1,0,721384,0
2.000,-26.84,-22.51,-19.26,-200.00,1.69,1,1,0,721756,0
3.000,-28.62,-25.92,-20.53,-200.00,3.31,1,1,0,722136,289
4.000,-29.00,-26.93,-23.33,-200.00,3.95,1,1,0,722512,42
5.000,-27.15,-23.64,-18.87,-200.00,2.51,1,1,0,722884,0
6.000,-24.99,-21.41,-17.81,-200.00,2.45,1,1,0,723256,0
7.000,-23.54,-22.45,-18.46,-200.00,4.93,1,1,0,723632,2404
8.000,-25.62,-23.90,-17.85,-200.00,4.30,1,1,6541568,724010,0
9.000,-24.38,-22.30,-18.09,-200.00,3.94,1,1,0,724384,143
10.000,-26.85,-22.11,-17.95,-200.00,1.28,1,1,0,724760,133
11.000,-28.06,-27.33,-18.29,-200.00,5.29,1,1,0,725136,0
12.000,-29.19,-31.05,-18.72,-200.00,7.88,1,1,0,725508,0
13.000,-28.33,-29.31,-18.30,-200.00,7.00,1,1,0,725880,373
14.000,-27.93,-36.16,-17.94,-200.00,14.25,1,1,0,726260,705
15.000,-27.84,-39.47,-18.12,-200.00,17.65,1,1,0,726632,3203
16.000,-28.31,-42.03,-18.36,-200.00,19.74,1,1,0,727008,2496
17.000,-28.01,-55.28,-17.87,-200.00,33.30,1,1,0,727380,3162
18.000,-28.18,-44.59,-17.70,-200.00,22.42,1,1,0,727760,3120
19.000,-29.13,-55.02,-18.14,-200.00,31.91,1,1,0,728132,3152
20.000,-28.29,-42.22,-18.21,-200.00,19.95,1,1,0,728508,3405
21.000,-28.14,-55.42,-18.53,-200.00,33.29,1,1,0,728884,11
22.000,-28.64,-33.57,-18.73,-200.00,10.95,1,1,0,729256,3687
23.000,-29.09,-28.62,-18.98,-200.00,5.55,1,1,6541056,729635,0
24.000,-29.89,-30.91,-19.82,-200.00,7.05,1,1,0,730004,0
25.000,-28.18,-28.54,-18.63,-200.00,6.38,1,1,0,730384,0
26.000,-28.99,-28.56,-19.64,-200.00,5.59,1,1,0,730756,0
27.000,-27.29,-23.32,-18.52,-200.00,2.05,1,1,0,731136,0
28.000,-28.51,-24.38,-20.41,-200.00,1.89,1,1,0,731508,0
29.000,-28.72,-25.78,-20.40,-200.00,3.08,1,1,0,731884,0
