second,raw_db,output_db,reduction,active_blocks,doubletalk_blocks,missing,bypass,linear_only,delay,linear_reduction
0.096,-20.81,-22.82,2.00,5,0,2048,4,0,19.98,1.89
0.203,-20.40,-32.11,11.71,10,0,2048,5,0,19.98,3.95
0.309,-23.76,-24.47,0.70,10,0,2048,22,0,4.96,0.92
0.416,-22.84,-27.50,4.65,10,0,2048,27,0,20.00,0.93
0.523,-24.03,-27.17,3.14,10,0,2048,35,0,20.00,1.37
0.629,-24.12,-27.34,3.22,10,0,2048,48,0,20.00,0.59
0.736,-20.63,-24.50,3.87,10,0,2048,59,0,20.00,1.00
0.843,-22.58,-28.13,5.56,10,0,2048,63,0,20.00,0.95
0.949,-24.50,-29.31,4.81,10,0,2048,67,0,20.00,1.70
1.056,-24.60,-37.30,12.70,10,0,2048,68,0,20.00,2.57
1.163,-24.22,-32.43,8.21,10,0,2048,72,0,20.00,1.73
1.269,-23.19,-25.22,2.03,10,0,2048,79,0,20.00,3.77
1.376,-23.25,-39.90,16.65,10,0,2048,81,0,23.83,3.31
1.483,-22.68,-31.46,8.78,10,0,2048,82,0,23.83,3.72
1.589,-24.41,-59.96,35.55,10,0,2048,82,0,23.83,6.15
1.696,-21.19,-31.29,10.10,10,0,2048,83,0,23.83,3.76
1.803,-23.64,-55.97,32.33,10,0,2048,84,0,23.83,2.84
1.909,-23.62,-33.10,9.48,10,0,2048,85,0,23.83,4.67
2.016,-24.68,-58.75,34.06,10,0,2048,85,0,23.83,4.73
2.123,-23.39,-60.17,36.78,10,0,2048,85,0,23.83,6.29
2.229,-23.12,-58.25,35.12,10,0,2048,85,0,23.83,4.98
2.336,-23.60,-29.95,6.35,10,0,2048,85,5,23.83,2.90
2.443,-21.50,-29.37,7.87,10,0,2048,85,7,23.83,2.89
2.549,-21.17,-26.38,5.22,10,0,2048,85,13,23.83,1.89
2.656,-21.76,-30.92,9.16,10,0,2048,85,16,23.83,2.14
2.763,-23.65,-34.27,10.62,10,0,2048,85,17,23.83,2.51
2.870,-23.99,-37.20,13.22,10,0,2048,85,18,23.83,2.83
2.976,-26.67,-34.85,8.18,10,0,2048,85,20,23.83,3.22
3.083,-23.23,-34.19,10.96,10,0,2048,85,23,23.83,4.12
3.189,-25.06,-32.82,7.76,10,0,2048,85,27,23.83,3.11
3.296,-25.33,-32.15,6.81,10,0,2048,85,29,23.83,2.67
3.403,-21.43,-42.44,21.00,10,0,2048,85,29,23.83,2.15
3.509,-21.04,-28.79,7.75,10,0,2048,85,34,23.83,1.51
3.616,-20.18,-47.46,27.28,10,0,2048,85,34,23.83,5.14
3.723,-19.99,-55.72,35.73,10,0,2048,85,34,23.83,5.22
3.830,-21.11,-55.36,34.25,10,0,2048,85,34,23.83,5.06
3.936,-25.16,-40.18,15.02,10,0,2048,85,35,23.83,4.42
4.043,-23.80,-53.41,29.61,10,0,2048,85,35,23.83,5.13
4.150,-22.12,-36.71,14.59,10,0,2048,85,36,23.83,2.27
4.256,-23.30,-40.13,16.83,10,0,2048,85,36,23.81,2.93
4.363,-24.53,-57.06,32.53,10,0,2048,85,36,23.81,3.54
4.469,-24.37,-58.93,34.56,10,0,2048,85,36,23.81,4.27
4.576,-21.70,-56.97,35.27,10,0,2048,85,36,23.81,4.53
4.683,-21.52,-57.33,35.82,10,0,2048,85,36,23.81,5.46
4.790,-19.21,-57.25,38.04,10,0,2048,85,36,23.81,8.08
4.896,-18.50,-55.69,37.19,10,0,2048,85,36,23.81,8.04
5.003,-21.74,-33.59,11.85,10,0,2048,85,38,23.81,3.76
5.109,-22.14,-54.51,32.37,10,0,2048,85,38,23.79,4.15
5.216,-22.26,-40.05,17.79,10,0,2048,85,39,23.79,3.64
5.323,-24.49,-42.84,18.35,10,0,2048,85,39,23.81,4.85
5.429,-21.38,-39.07,17.69,10,0,2048,85,40,23.81,5.67
5.536,-24.64,-39.43,14.79,10,0,2048,85,41,23.71,3.56
5.643,-22.68,-42.40,19.72,10,0,2048,85,41,23.71,5.06
