seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-28.21,-25.66,-17.96,-200.00,3.46,1,1,256,802790,526
2.000,-28.16,-29.13,-18.88,-200.00,6.99,1,1,256,803360,2077
3.000,-27.78,-35.14,-17.93,-200.00,13.39,1,1,256,803918,3255
4.000,-27.36,-40.42,-18.31,-200.00,19.09,1,1,7480832,804485,0
5.000,-28.43,-43.38,-18.36,-200.00,20.97,1,1,256,805044,2261
6.000,-28.65,-41.76,-17.84,-200.00,19.13,1,1,256,805604,3116
7.000,-28.11,-42.25,-18.19,-200.00,20.17,1,1,256,806174,3543
8.000,-28.16,-56.13,-18.75,-200.00,33.99,1,1,7480832,806729,0
9.000,-29.35,-46.86,-18.53,-200.00,23.53,1,1,256,807290,3253
10.000,-28.22,-48.57,-19.43,-200.00,26.37,1,1,256,807854,3578
11.000,-28.17,-56.98,-20.31,-200.00,34.83,1,1,7482624,808420,0
12.000,-32.38,-46.09,-22.78,-200.00,19.73,1,1,256,808982,3592
13.000,-33.31,-64.53,-24.97,-200.00,37.24,1,1,7499008,809541,0
14.000,-40.75,-46.18,-30.20,-200.00,11.45,1,1,256,810110,39
15.000,-33.19,-46.03,-19.94,-200.00,18.85,1,1,256,810668,2555
16.000,-33.33,-48.75,-20.54,-200.00,21.45,1,1,256,811232,3282
17.000,-32.24,-49.22,-20.12,-200.00,23.00,1,1,256,811796,2813
18.000,-32.48,-59.49,-19.91,-200.00,33.04,1,1,256,812354,3196
19.000,-32.11,-48.54,-19.96,-200.00,22.45,1,1,256,812912,3048
20.000,-29.54,-31.51,-17.78,-200.00,7.99,1,1,256,813482,0
21.000,-29.01,-31.47,-17.14,-200.00,8.48,1,1,256,814040,0
22.000,-31.12,-32.81,-20.53,-200.00,7.72,1,1,256,814610,1567
23.000,-32.79,-42.23,-20.79,-200.00,15.46,1,1,256,815168,3195
24.000,-29.21,-35.59,-17.91,-200.00,12.39,1,1,256,815732,3226
25.000,-28.81,-42.80,-18.24,-200.00,20.01,1,1,256,816294,3386
26.000,-29.04,-39.73,-18.30,-200.00,16.71,1,1,256,816854,3219
27.000,-29.31,-41.13,-18.20,-200.00,17.84,1,1,1024,817423,3138
28.000,-29.44,-43.22,-17.82,-200.00,19.80,1,1,256,817976,2963
29.000,-28.97,-47.89,-18.35,-200.00,24.93,1,1,256,818546,3198
