seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-28.63,-33.65,-17.91,-200.00,11.04,1,1,2048,1326712,0
2.000,-26.86,-51.09,-17.92,-200.00,30.26,1,1,2048,1326900,0
3.000,-26.99,-42.24,-18.68,-200.00,21.27,1,1,2048,1327088,0
4.000,-27.35,-46.04,-18.69,-200.00,24.71,1,1,2048,1327276,0
5.000,-27.19,-56.17,-16.90,-200.00,35.00,1,1,2048,1327464,0
6.000,-27.27,-34.41,-17.22,-200.00,13.17,1,1,2048,1327650,0
7.000,-26.47,-37.86,-16.97,-200.00,17.42,1,1,2048,1327838,0
8.000,-28.11,-41.61,-19.51,-200.00,19.52,1,1,2048,1328026,0
9.000,-29.54,-36.12,-20.50,-200.00,12.60,1,1,2048,1328214,0
10.000,-29.13,-40.19,-20.37,-200.00,17.08,1,1,2048,1328400,0
11.000,-29.15,-40.45,-20.39,-200.00,17.32,1,1,2048,1328588,0
12.000,-28.79,-41.27,-20.14,-200.00,18.49,1,1,2048,1328774,0
13.000,-27.51,-37.41,-18.86,-200.00,15.92,1,1,2048,1328962,0
14.000,-29.33,-35.37,-20.97,-200.00,12.06,1,1,2048,1329152,0
15.000,-29.38,-36.20,-20.39,-200.00,12.84,1,1,2048,1329338,0
16.000,-28.79,-39.80,-19.66,-200.00,17.02,1,1,2048,1329524,0
17.000,-28.93,-43.27,-20.17,-200.00,20.36,1,1,2048,1329712,0
18.000,-29.18,-44.21,-20.78,-200.00,21.06,1,1,2048,1329900,0
19.000,-39.71,-53.99,-63.29,-200.00,20.31,1,1,2048,1330088,0
20.000,-38.81,-60.18,-37.97,-200.00,27.39,1,1,2048,1330274,0
21.000,-37.16,-58.26,-27.18,-200.00,27.11,1,1,2048,1330464,0
22.000,-37.49,-61.16,-26.29,-200.00,29.69,1,1,2048,1330650,0
23.000,-37.69,-57.92,-26.98,-200.00,26.25,1,1,2048,1330840,0
24.000,-35.22,-61.47,-26.78,-200.00,32.27,1,1,2048,1331026,0
25.015,-36.79,-60.37,-30.06,-200.00,29.60,1,1,2048,1331216,0
26.015,-27.47,-55.60,-18.44,-200.00,34.16,1,1,2048,1331404,0
27.015,-27.43,-51.93,-20.32,-200.00,30.52,1,1,2048,1331592,0
28.015,-27.79,-51.62,-22.25,-200.00,29.85,1,1,2048,1331778,0
29.015,-25.73,-51.50,-20.49,-200.00,31.79,1,1,2048,1331964,0
