seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-31.18,-35.76,-23.44,-200.00,10.60,1,1,3902,1398689,0
2.000,-30.39,-41.75,-24.43,-200.00,17.37,1,1,3902,1398877,0
3.000,-33.07,-45.27,-25.23,-200.00,18.22,1,1,3902,1399063,0
4.000,-33.04,-49.78,-24.91,-200.00,22.76,1,1,3902,1399251,0
5.000,-32.04,-42.33,-24.18,-200.00,16.31,1,1,3902,1399439,0
6.000,-32.43,-41.68,-24.15,-200.00,15.27,1,1,3902,1399627,0
7.000,-32.67,-39.34,-24.58,-200.00,12.69,1,1,3902,1399815,0
8.000,-31.08,-45.29,-23.15,-200.00,20.24,1,1,3902,1400003,0
9.000,-28.80,-48.12,-21.46,-200.00,25.34,1,1,3902,1400189,0
10.000,-31.74,-45.92,-24.60,-200.00,20.20,1,1,3902,1400377,0
11.000,-31.96,-50.23,-24.51,-200.00,24.30,1,1,3902,1400565,0
12.000,-31.49,-48.11,-22.76,-200.00,22.64,1,1,3902,1400751,0
13.000,-34.15,-51.14,-26.18,-200.00,23.01,1,1,3902,1400941,0
14.000,-31.06,-52.70,-24.23,-200.00,27.66,1,1,3902,1401127,0
15.000,-30.85,-46.19,-26.00,-200.00,21.35,1,1,3902,1401313,0
16.000,-31.71,-53.05,-26.83,-200.00,27.35,1,1,3902,1401503,0
17.000,-30.14,-45.58,-21.99,-200.00,21.46,1,1,3902,1401689,0
18.000,-31.62,-51.93,-23.42,-200.00,26.33,1,1,3902,1401877,0
19.000,-32.58,-50.59,-24.29,-200.00,24.03,1,1,3902,1402063,0
20.000,-31.71,-53.36,-23.33,-200.00,27.67,1,1,3902,1402251,0
21.000,-31.17,-44.30,-22.53,-200.00,19.15,1,1,3902,1402441,0
22.000,-29.93,-47.97,-21.59,-200.00,24.06,1,1,3902,1402627,0
23.000,-30.66,-39.59,-22.27,-200.00,14.95,1,1,3902,1402813,0
24.000,-33.13,-40.89,-23.76,-200.00,13.79,1,1,3902,1403001,0
25.000,-31.07,-42.93,-21.83,-200.00,17.88,1,1,3902,1403189,0
26.000,-34.13,-45.74,-24.67,-200.00,17.63,1,1,3902,1403377,0
27.000,-31.73,-53.87,-23.53,-200.00,28.16,1,1,3902,1403563,0
28.000,-31.85,-41.11,-23.96,-200.00,15.28,1,1,3902,1403753,0
29.000,-32.49,-45.81,-24.38,-200.00,19.34,1,1,3902,1403939,0
30.000,-31.95,-45.26,-22.92,-200.00,19.33,1,1,3902,1404127,0
31.000,-31.43,-42.30,-24.59,-200.00,16.89,1,1,3902,1404313,0
32.000,-31.74,-49.33,-23.60,-200.00,23.61,1,1,3902,1404503,0
33.000,-29.84,-49.24,-21.34,-200.00,25.42,1,1,3902,1404687,0
34.000,-29.05,-43.80,-21.68,-200.00,20.78,1,1,3902,1404877,0
35.000,-31.16,-45.15,-22.87,-200.00,20.01,1,1,3902,1405065,0
36.000,-31.46,-46.49,-23.00,-200.00,21.06,1,1,3902,1405251,0
37.000,-31.43,-42.33,-24.36,-200.00,16.92,1,1,3902,1405439,0
38.000,-30.15,-54.93,-22.10,-200.00,30.80,1,1,3902,1405627,0
