seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-24.46,-29.47,-17.75,-200.00,11.02,1,1,3902,1170099,0
2.000,-16.61,-11.61,-17.41,-200.00,1.03,1,1,4670,1170287,0
3.000,-23.88,-23.52,-19.75,-200.00,5.66,1,1,5438,1170473,0
4.000,-17.63,-14.33,-18.19,-200.00,2.72,1,1,8126,1170661,0
5.000,-18.37,-13.78,-19.12,-200.00,1.43,1,1,8894,1170849,0
6.000,-16.89,-12.06,-20.21,-200.00,1.19,1,1,8894,1171035,0
7.000,-19.00,-13.68,-21.43,-200.00,0.70,1,1,11198,1171223,0
8.000,-22.62,-19.17,-21.16,-200.00,2.57,1,1,11966,1171409,0
9.000,-16.22,-12.67,-15.90,-200.00,2.48,1,1,11966,1171599,0
10.000,-17.70,-12.80,-17.60,-200.00,1.13,1,1,12734,1171785,0
11.000,-18.99,-17.58,-18.21,-200.00,4.61,1,1,12734,1171973,0
12.000,-19.71,-15.25,-17.28,-200.00,1.57,1,1,12734,1172161,0
13.000,-19.99,-18.07,-16.12,-200.00,4.10,1,1,12734,1172349,0
14.000,-12.26,-8.97,-17.73,-200.00,2.73,1,1,13886,1172537,0
15.000,-11.01,-5.40,-17.77,-200.00,0.40,1,1,13886,1172723,0
16.000,-19.26,-14.68,-15.44,-200.00,1.45,1,1,13886,1172909,0
17.000,-19.51,-15.29,-16.23,-200.00,1.81,1,1,14654,1173099,0
18.000,-22.75,-21.40,-17.69,-200.00,4.67,1,1,15422,1173285,0
19.000,-23.03,-24.34,-19.53,-200.00,7.33,1,1,16190,1173475,0
20.000,-20.62,-17.55,-22.40,-200.00,2.95,1,1,16190,1173661,0
21.000,-21.85,-19.46,-19.25,-200.00,3.63,1,1,16958,1173847,0
22.000,-19.90,-14.81,-21.77,-200.00,0.94,1,1,18110,1174037,0
23.000,-21.43,-17.70,-20.67,-200.00,2.29,1,1,18494,1174223,0
24.000,-20.37,-16.31,-18.74,-200.00,1.96,1,1,19262,1174409,0
25.000,-21.27,-16.84,-19.85,-200.00,1.59,1,1,19262,1174599,0
26.000,-19.23,-14.71,-20.04,-200.00,1.51,1,1,19262,1174785,0
27.000,-20.81,-15.63,-18.83,-200.00,0.84,1,1,20030,1174971,0
28.000,-20.34,-15.73,-20.48,-200.00,1.41,1,1,20030,1175161,0
29.000,-21.09,-18.23,-17.43,-200.00,3.15,1,1,20798,1175347,0
