seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-22.19,-18.34,-25.52,-200.00,2.18,1,1,3584,1190512,0
2.000,-22.01,-15.62,-23.71,-200.00,-0.37,1,1,3584,1190698,0
3.000,-20.16,-14.70,-26.48,-200.00,0.57,1,1,3584,1190888,0
4.000,-29.40,-23.07,-26.24,-200.00,-0.31,1,1,3584,1191074,0
5.000,-22.98,-18.23,-24.67,-200.00,1.27,1,1,3584,1191262,0
6.000,-21.15,-15.32,-23.60,-200.00,0.20,1,1,3584,1191450,0
7.000,-20.09,-15.29,-23.19,-200.00,1.21,1,1,3584,1191638,0
8.000,-22.95,-16.17,-23.03,-200.00,-0.76,1,1,3584,1191824,0
9.000,-24.75,-19.89,-25.89,-200.00,1.16,1,1,3584,1192012,0
10.000,-22.78,-17.05,-25.36,-200.00,0.29,1,1,3584,1192198,0
11.000,-20.27,-14.78,-20.92,-200.00,0.53,1,1,3584,1192388,0
12.000,-20.40,-17.02,-22.33,-200.00,2.64,1,1,3584,1192574,0
13.000,-19.67,-13.03,-22.01,-200.00,-0.62,1,1,3584,1192762,0
14.000,-20.41,-16.07,-21.34,-200.00,1.69,1,1,3584,1192950,0
15.000,-17.94,-11.71,-29.21,-200.00,-0.21,1,1,3584,1193136,0
16.000,-22.13,-15.86,-23.70,-200.00,-0.25,1,1,3584,1193326,0
17.000,-20.03,-15.76,-20.31,-200.00,1.75,1,1,3584,1193512,0
18.000,-18.95,-12.99,-20.10,-200.00,0.05,1,1,3584,1193698,0
19.000,-20.36,-16.40,-19.85,-200.00,2.06,1,1,3584,1193888,0
20.000,-20.61,-15.34,-22.90,-200.00,0.75,1,1,3584,1194074,0
21.000,-20.56,-15.29,-22.75,-200.00,0.75,1,1,3584,1194262,0
22.000,-24.97,-23.76,-21.06,-200.00,4.81,1,1,3584,1194450,0
23.000,-26.34,-23.79,-21.02,-200.00,3.48,1,1,3584,1194638,0
24.000,-29.44,-40.91,-21.41,-200.00,17.49,1,1,3584,1194824,0
25.000,-27.15,-41.33,-19.66,-200.00,20.20,1,1,3584,1195012,0
26.000,-28.59,-39.15,-21.30,-200.00,16.58,1,1,3584,1195198,0
27.000,-31.25,-49.07,-25.52,-200.00,23.84,1,1,3584,1195388,0
28.000,-30.56,-47.66,-24.72,-200.00,23.12,1,1,3584,1195574,0
29.000,-24.55,-44.03,-22.93,-200.00,25.50,1,1,3584,1195762,0
30.000,-28.84,-51.29,-20.29,-200.00,28.47,1,1,3584,1195950,0
31.000,-31.93,-48.35,-24.34,-200.00,22.44,1,1,3584,1196136,0
32.000,-33.35,-55.15,-27.41,-200.00,27.82,1,1,3584,1196326,0
33.000,-32.47,-48.48,-25.21,-200.00,22.04,1,1,3584,1196512,0
34.000,-28.48,-46.83,-19.23,-200.00,24.38,1,1,3584,1196700,0
35.000,-27.64,-51.16,-20.34,-200.00,29.54,1,1,3584,1196886,0
36.000,-28.41,-54.09,-20.29,-200.00,31.70,1,1,3584,1197076,0
37.000,-26.97,-47.46,-19.12,-200.00,26.51,1,1,3584,1197262,0
38.000,-27.68,-52.35,-23.90,-200.00,30.69,1,1,3584,1197450,0
39.000,-31.69,-61.62,-23.88,-200.00,35.95,1,1,3584,1197636,0
40.000,-25.35,-53.95,-17.81,-200.00,34.61,1,1,3584,1197826,0
41.000,-26.96,-48.09,-18.52,-200.00,27.15,1,1,3584,1198012,0
42.000,-24.17,-52.58,-20.27,-200.00,34.44,1,1,3584,1198200,0
43.000,-26.23,-48.35,-20.25,-200.00,28.15,1,1,3584,1198388,0
44.000,-31.18,-58.24,-21.24,-200.00,33.08,1,1,3584,1198574,0
45.000,-24.64,-57.97,-18.00,-200.00,39.35,1,1,3584,1198762,0
46.000,-26.02,-44.26,-19.30,-200.00,24.26,1,1,3584,1198948,0
47.000,-29.01,-51.05,-20.66,-200.00,28.06,1,1,3584,1199136,0
48.000,-27.49,-45.01,-18.72,-200.00,23.53,1,1,3584,1199324,0
49.000,-28.46,-50.37,-19.61,-200.00,27.93,1,1,3584,1199512,0
50.000,-28.86,-52.82,-22.12,-200.00,29.99,1,1,3584,1199700,0
51.000,-27.24,-49.53,-21.50,-200.00,28.32,1,1,3584,1199886,0
52.000,-21.17,-40.68,-20.16,-200.00,25.53,1,1,3584,1200076,0
53.000,-20.77,-18.24,-19.39,-200.00,3.50,1,1,3584,1200262,0
54.000,-17.66,-14.46,-21.32,-200.00,2.82,1,1,3584,1200448,0
55.000,-20.63,-14.58,-22.47,-200.00,-0.03,1,1,3584,1200636,0
56.000,-22.06,-16.79,-24.18,-200.00,0.76,1,1,3584,1200826,0
57.000,-17.96,-14.59,-17.03,-200.00,2.65,1,1,3584,1201012,0
58.000,-19.36,-14.06,-19.39,-200.00,0.72,1,1,3584,1201198,0
59.000,-22.41,-19.05,-20.02,-200.00,2.67,1,1,3584,1201388,0
60.000,-17.05,-20.91,-18.51,-200.00,9.87,1,1,3584,1201574,0
61.000,-22.09,-18.92,-19.20,-200.00,2.85,1,1,3584,1201764,0
62.000,-19.70,-15.12,-19.54,-200.00,1.44,1,1,3584,1201950,0
63.000,-21.18,-17.52,-16.82,-200.00,2.36,1,1,3584,1202138,0
64.000,-18.74,-13.88,-18.45,-200.00,1.16,1,1,3584,1202324,0
65.000,-17.09,-11.59,-18.34,-200.00,0.52,1,1,3584,1202514,0
66.000,-21.22,-18.70,-15.39,-200.00,3.50,1,1,3584,1202700,0
67.000,-19.94,-16.60,-16.85,-200.00,2.69,1,1,3584,1202886,0
68.000,-19.26,-16.44,-15.49,-200.00,3.19,1,1,3584,1203074,0
69.000,-19.70,-16.04,-15.84,-200.00,2.35,1,1,3584,1203260,0
70.000,-21.11,-17.22,-15.28,-200.00,2.14,1,1,3584,1203448,0
71.000,-21.91,-20.58,-15.38,-200.00,4.69,1,1,3584,1203638,0
72.000,-18.66,-15.86,-15.89,-200.00,3.22,1,1,3584,1203824,0
73.000,-18.62,-13.83,-15.41,-200.00,1.22,1,1,3584,1204012,0
74.000,-19.83,-16.93,-15.53,-200.00,3.12,1,1,3584,1204200,0
75.000,-19.47,-15.58,-17.44,-200.00,2.13,1,1,3584,1204386,0
76.000,-20.15,-15.97,-16.22,-200.00,1.84,1,1,3584,1204574,0
77.000,-18.51,-15.44,-14.19,-200.00,2.95,1,1,3584,1204760,0
78.000,-17.74,-12.70,-18.33,-200.00,0.98,1,1,3584,1204950,0
79.000,-20.64,-18.04,-19.57,-200.00,3.42,1,1,3584,1205136,0
80.000,-17.98,-15.18,-15.61,-200.00,3.23,1,1,3584,1205326,0
81.000,-18.49,-14.16,-14.45,-200.00,1.69,1,1,3584,1205512,0
82.000,-17.09,-13.45,-13.88,-200.00,2.38,1,1,3584,1205698,0
83.000,-22.56,-25.63,-14.07,-200.00,9.09,1,1,3584,1205888,0
84.000,-24.29,-39.07,-14.69,-200.00,20.81,1,1,3584,1206074,0
85.000,-26.73,-36.94,-16.83,-200.00,16.23,1,1,3584,1206262,0
86.000,-22.78,-33.06,-14.28,-200.00,16.30,1,1,3584,1206448,0
87.000,-23.11,-41.83,-14.74,-200.00,24.74,1,1,3584,1206636,0
88.000,-23.98,-44.18,-14.68,-200.00,26.22,1,1,3584,1206824,0
89.000,-23.41,-44.95,-15.15,-200.00,27.57,1,1,3584,1207012,0
90.000,-26.85,-48.75,-17.76,-200.00,27.91,1,1,3584,1207200,0
91.000,-24.52,-49.83,-15.18,-200.00,31.33,1,1,3584,1207386,0
92.000,-23.11,-43.37,-13.30,-200.00,26.28,1,1,3584,1207574,0
93.000,-23.06,-48.44,-14.14,-200.00,31.40,1,1,3584,1207762,0
94.000,-24.83,-48.11,-14.98,-200.00,29.30,1,1,3584,1207950,0
95.000,-24.57,-46.73,-14.40,-200.00,28.18,1,1,3584,1208138,0
96.000,-23.36,-45.85,-14.03,-200.00,28.51,1,1,3584,1208324,0
97.000,-26.77,-50.33,-17.20,-200.00,29.57,1,1,3584,1208512,0
98.015,-23.25,-47.96,-15.33,-200.00,30.74,1,1,3584,1208700,0
