seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db,enabled,reference,missing,callbacks,reduction_meter
1.000,-21.62,-15.58,-22.69,-200.00,-0.02,1,0,47872,1025788,0
2.000,-19.83,-13.89,-21.22,-200.00,0.08,1,0,96512,1025978,0
3.000,-21.48,-15.37,-19.73,-200.00,-0.09,1,0,144128,1026164,0
4.000,-21.12,-15.21,-19.69,-200.00,0.11,1,0,192256,1026352,0
5.000,-19.98,-13.93,-17.50,-200.00,-0.03,1,0,240384,1026540,0
6.000,-22.34,-16.23,-17.75,-200.00,-0.08,1,0,288000,1026726,0
7.000,-19.60,-13.61,-19.87,-200.00,0.03,1,0,335616,1026912,0
8.000,-21.71,-15.64,-20.97,-200.00,-0.04,1,0,384256,1027102,0
9.000,-21.94,-15.89,-19.51,-200.00,-0.03,1,0,431872,1027288,0
10.000,-21.78,-15.93,-18.47,-200.00,0.17,1,0,480512,1027478,0
11.000,-19.91,-13.79,-19.78,-200.00,-0.10,1,0,528640,1027666,0
12.000,-21.73,-15.70,-17.83,-200.00,-0.01,1,0,576256,1027852,0
13.000,-22.62,-16.81,-20.02,-200.00,0.21,1,0,623872,1028038,0
14.000,-21.18,-15.15,-21.79,-200.00,-0.01,1,0,672512,1028228,0
15.000,-19.03,-12.98,-18.93,-200.00,-0.03,1,0,720128,1028414,0
16.000,-19.13,-13.07,-21.10,-200.00,-0.04,1,0,768256,1028602,0
17.000,-21.15,-15.27,-19.52,-200.00,0.14,1,0,815872,1028788,0
18.000,-19.86,-14.20,-21.16,-200.00,0.35,1,0,864512,1028978,0
19.000,-23.11,-16.29,-21.12,-200.00,-0.80,1,0,912128,1029164,0
20.000,-22.74,-16.67,-17.71,-200.00,-0.05,1,0,959744,1029350,0
21.000,-26.20,-20.08,-20.18,-200.00,-0.10,1,0,1007872,1029538,0
22.000,-19.48,-13.62,-17.19,-200.00,0.16,1,0,1056512,1029728,0
23.000,-23.65,-17.24,-18.07,-200.00,-0.39,1,0,1104128,1029914,0
24.000,-20.89,-14.87,-18.69,-200.00,0.01,1,0,1152256,1030102,0
25.000,-18.91,-12.89,-16.92,-200.00,0.00,1,0,1199872,1030288,0
26.000,-20.70,-14.87,-19.14,-200.00,0.20,1,0,1248000,1030476,0
27.000,-21.03,-14.79,-18.12,-200.00,-0.22,1,0,1296640,1030666,0
28.000,-21.78,-15.74,-18.86,-200.00,-0.01,1,0,1343744,1030850,0
29.000,-29.51,-23.53,-20.94,-200.00,0.04,1,0,1392384,1031040,0
30.000,-24.71,-18.71,-16.55,-200.00,0.02,1,0,1440000,1031226,0
31.000,-26.33,-20.26,-18.78,-200.00,-0.05,1,0,1488640,1031416,0
32.000,-23.93,-18.61,-17.67,-200.00,0.71,1,0,1536256,1031602,0
33.000,-21.73,-15.35,-16.53,-200.00,-0.35,1,0,1583872,1031788,0
34.000,-27.34,-21.24,-19.03,-200.00,-0.08,1,0,1632512,1031978,0
35.000,-34.35,-28.15,-29.57,-200.00,-0.19,1,0,1679616,1032162,0
36.000,-30.60,-24.74,-21.69,-200.00,0.16,1,0,1728256,1032352,0
37.000,-29.54,-23.43,-21.03,-200.00,-0.09,1,0,1775872,1032538,0
38.000,-30.96,-24.92,-22.55,-200.00,-0.01,1,0,1824000,1032726,0
39.000,-29.97,-24.03,-21.94,-200.00,0.09,1,0,1872640,1032916,0
40.000,-29.03,-23.01,-22.48,-200.00,0.00,1,0,1919744,1033100,0
41.000,-28.56,-22.58,-20.83,-200.00,0.04,1,0,1968384,1033290,0
42.000,-28.82,-22.76,-19.21,-200.00,-0.04,1,0,2016512,1033478,0
43.000,-28.80,-22.83,-18.83,-200.00,0.05,1,0,2064128,1033664,0
44.000,-28.14,-22.09,-19.73,-200.00,-0.03,1,0,2112256,1033852,0
45.000,-28.53,-22.50,-20.60,-200.00,-0.00,1,0,2159872,1034038,0
46.000,-27.90,-21.93,-18.81,-200.00,0.04,1,0,2208000,1034226,0
47.000,-28.55,-22.47,-17.79,-200.00,-0.07,1,0,2255616,1034412,0
48.000,-29.44,-23.34,-20.14,-200.00,-0.07,1,0,2304256,1034602,0
49.000,-28.45,-22.52,-20.84,-200.00,0.09,1,0,2351872,1034788,0
50.000,-27.74,-21.66,-19.75,-200.00,-0.06,1,0,2400512,1034978,0
51.000,-28.40,-22.43,-19.90,-200.00,0.05,1,0,2448128,1035164,0
52.000,-30.53,-24.38,-22.43,-200.00,-0.14,1,0,2496256,1035352,0
53.000,-30.13,-28.91,-20.04,-200.00,4.80,1,1,2509824,1035538,2775
54.000,-22.78,-17.63,-23.91,-200.00,0.88,1,1,2509824,1035726,1307
55.016,-28.77,-29.62,-20.51,-200.00,6.86,1,1,2510080,1035916,2768
56.016,-27.70,-23.59,-18.53,-200.00,1.91,1,1,2510080,1036104,146
57.016,-21.27,-15.98,-18.68,-200.00,0.73,1,1,2510080,1036292,0
58.016,-24.34,-20.73,-19.28,-200.00,2.42,1,1,2510080,1036478,1183
59.016,-18.83,-14.83,-17.39,-200.00,2.02,1,1,2510080,1036668,108
60.016,-21.22,-17.72,-19.30,-200.00,2.52,1,1,2510080,1036854,0
61.016,-18.58,-13.70,-19.06,-200.00,1.15,1,1,2510080,1037042,0
62.016,-21.44,-16.19,-19.34,-200.00,0.77,1,1,2510080,1037230,0
63.016,-23.05,-20.49,-17.84,-200.00,3.46,1,1,2510080,1037418,137
64.016,-19.03,-15.47,-17.34,-200.00,2.45,1,1,2510080,1037604,0
65.016,-19.83,-15.21,-18.91,-200.00,1.40,1,1,2510080,1037792,0
66.016,-22.29,-18.82,-16.99,-200.00,2.55,1,1,2510080,1037980,226
67.016,-20.52,-16.06,-17.91,-200.00,1.56,1,1,2510080,1038166,46
