seconds,raw_mix_dbfs,processed_dbfs,smsl_reference_dbfs,motu_output_dbfs,normalized_reduction_db
1.000,-49.68,-45.20,-58.75,-200.00,1.54
2.000,-48.61,-55.52,-57.34,-200.00,12.93
3.000,-35.28,-29.49,-57.70,-200.00,0.23
4.000,-34.73,-28.73,-57.30,-200.00,0.02
5.000,-39.32,-32.92,-51.50,-200.00,-0.38
6.000,-46.46,-45.23,-39.74,-200.00,4.79
7.000,-48.64,-48.53,-40.93,-200.00,5.91
8.000,-49.75,-50.49,-49.48,-200.00,6.76
9.000,-49.48,-52.23,-63.84,-200.00,8.77
10.000,-47.06,-52.20,-38.78,-200.00,11.17
11.000,-47.33,-50.43,-39.17,-200.00,9.12
12.000,-47.14,-52.13,-39.59,-200.00,11.02
13.000,-48.92,-53.19,-46.42,-200.00,10.29
14.000,-49.82,-56.29,-41.65,-200.00,12.49
15.000,-50.19,-56.21,-49.40,-200.00,12.04
16.000,-50.31,-57.17,-64.32,-200.00,12.88
17.000,-50.86,-56.51,-61.52,-200.00,11.67
18.000,-49.39,-54.03,-65.87,-200.00,10.66
19.000,-49.43,-50.72,-67.93,-200.00,7.31
20.000,-48.44,-50.61,-73.18,-200.00,8.19
21.000,-49.33,-53.14,-63.87,-200.00,9.83
22.000,-49.75,-56.20,-59.37,-200.00,12.48
23.000,-49.71,-55.02,-59.07,-200.00,11.33
24.000,-49.33,-56.01,-61.03,-200.00,12.71
25.000,-49.44,-56.41,-57.83,-200.00,12.99
26.000,-49.72,-57.21,-58.24,-200.00,13.50
27.000,-49.09,-58.01,-59.22,-200.00,14.95
28.000,-48.08,-54.14,-57.78,-200.00,12.08
29.000,-50.01,-57.77,-57.22,-200.00,13.78
